shipment_id,supplier_id,product_id,destination_warehouse_id,origin_city,origin_country,destination_city,destination_country,order_date,scheduled_delivery_date,actual_delivery_date,delay_days,shipping_mode,carrier,status,quantity_units,shipment_cost_usd,is_late,late_delivery_risk,severity,risk_score
SHP-0049,SUP-036,PRD-107,WH-07,Accra,Kenya,London,United Kingdom,2024-12-06,2024-12-26,2024-12-30,4,Rail,Union Pacific,Delayed,288,2520.0,1,0.84,medium,0.553
SHP-0050,SUP-039,PRD-116,WH-10,Vancouver,Mexico,Bogotá,Colombia,2023-04-11,2023-04-16,2023-04-16,0,Sea,MSC,Delivered,99,9523.8,0,0.44,low,0.14
SHP-0051,SUP-001,PRD-003,WH-05,Nairobi,Nigeria,Berlin,Germany,2023-08-11,2023-09-06,2023-09-13,7,Rail,Union Pacific,Delayed,173,16262.0,1,0.35,high,0.53
SHP-0052,SUP-033,PRD-098,WH-07,Houston,Mexico,London,United Kingdom,2022-01-15,2022-01-19,2022-01-25,6,Sea,Maersk,Delayed,103,3955.2,1,0.56,high,0.546
SHP-0053,SUP-045,PRD-134,WH-03,Amsterdam,Poland,Toronto,Canada,2024-10-17,2024-10-29,2024-10-29,0,Rail,BNSF Railway,Delivered,370,25992.5,0,0.13,low,0.043
SHP-0054,SUP-045,PRD-135,WH-14,Madrid,Poland,Johannesburg,South Africa,2022-10-05,2022-10-17,2022-10-17,0,Road,J.B. Hunt,Delivered,251,20469.05,0,0.13,low,0.043
SHP-0055,SUP-044,PRD-131,WH-06,Nairobi,Nigeria,Paris,France,2024-10-06,2024-10-27,2024-10-27,0,Air,DHL,Delivered,386,3088.0,0,0.18,low,0.058
SHP-0056,SUP-001,PRD-001,WH-15,Lagos,Nigeria,Lagos,Nigeria,2022-01-31,2022-02-26,2022-02-27,1,Road,DB Schenker,Delayed,257,21318.15,1,0.56,medium,0.323
SHP-0057,SUP-003,PRD-008,WH-06,London,Italy,Paris,France,2022-04-25,2022-04-30,2022-04-30,0,Sea,Maersk,Delivered,118,9487.2,0,0.32,low,0.099
SHP-0058,SUP-022,PRD-065,WH-09,São Paulo,Chile,São Paulo,Brazil,2023-05-25,2023-06-12,2023-06-12,0,Sea,Maersk,Delivered,121,7526.2,0,0.19,low,0.06
SHP-0059,SUP-009,PRD-027,WH-08,Milan,Poland,Amsterdam,Netherlands,2024-03-07,2024-03-17,2024-03-17,0,Sea,CMA CGM,Delivered,392,10976.0,0,0.36,low,0.114
SHP-0060,SUP-040,PRD-120,WH-06,Madrid,United Kingdom,Paris,France,2024-09-12,2024-09-22,2024-10-07,15,Sea,Maersk,Delayed,140,10444.0,1,0.84,high,0.813
SHP-0061,SUP-026,PRD-076,WH-05,Nairobi,South Africa,Berlin,Germany,2022-09-03,2022-09-24,2022-10-04,10,Sea,CMA CGM,Delayed,263,2472.2,1,0.56,high,0.724
SHP-0062,SUP-014,PRD-041,WH-10,Buenos Aires,Brazil,Bogotá,Colombia,2022-11-19,2022-12-05,2022-12-05,0,Road,DB Schenker,Delivered,496,63711.2,0,0.34,low,0.104
SHP-0063,SUP-044,PRD-130,WH-14,Nairobi,Nigeria,Johannesburg,South Africa,2022-11-12,2022-12-03,2022-12-03,0,Road,XPO Logistics,Delivered,269,45568.6,0,0.12,low,0.04
SHP-0064,SUP-040,PRD-120,WH-02,Milan,United Kingdom,Los Angeles,United States,2023-11-24,2023-12-04,2023-12-20,16,Sea,MSC,Delayed,297,22156.2,1,0.86,high,0.819
SHP-0065,SUP-017,PRD-051,WH-05,Accra,Egypt,Berlin,Germany,2023-12-14,2024-01-15,2024-01-15,0,Sea,CMA CGM,Delivered,488,16884.8,0,0.31,low,0.094
SHP-0066,SUP-014,PRD-040,WH-06,Buenos Aires,Brazil,Paris,France,2024-07-09,2024-07-25,2024-07-25,0,Sea,Maersk,Delivered,417,26521.2,0,0.24,low,0.074
SHP-0067,SUP-030,PRD-090,WH-01,Shanghai,Japan,Chicago,United States,2024-01-16,2024-02-03,2024-02-11,8,Sea,MSC,Delayed,117,9734.4,1,0.81,high,0.716
SHP-0068,SUP-037,PRD-111,WH-07,Madrid,Germany,London,United Kingdom,2023-10-23,2023-11-01,2023-11-03,2,Road,XPO Logistics,Delayed,447,19243.35,1,0.93,medium,0.489
SHP-0069,SUP-016,PRD-046,WH-06,Johannesburg,Kenya,Paris,France,2022-12-21,2023-01-14,2023-01-14,0,Sea,CMA CGM,Delivered,322,8372.0,0,0.73,low,0.231
SHP-0070,SUP-029,PRD-085,WH-07,São Paulo,Colombia,London,United Kingdom,2022-01-27,2022-02-06,2022-02-08,2,Road,XPO Logistics,Delayed,259,23569.0,1,0.59,medium,0.377
SHP-0071,SUP-006,PRD-017,WH-06,Santiago,Peru,Paris,France,2024-01-26,2024-02-12,2024-02-18,6,Road,DB Schenker,Delayed,59,4295.2,1,0.93,high,0.661
SHP-0072,SUP-038,PRD-112,WH-02,Houston,Canada,Los Angeles,United States,2024-12-24,2024-12-27,2024-12-27,0,Air,Emirates SkyCargo,In Transit,147,12936.0,0,0.22,low,0.068
SHP-0073,SUP-016,PRD-048,WH-12,Johannesburg,Kenya,Singapore,Singapore,2024-01-04,2024-01-28,2024-01-31,3,Road,J.B. Hunt,Delayed,225,21892.5,1,0.8,medium,0.487
SHP-0074,SUP-046,PRD-136,WH-15,Jakarta,India,Lagos,Nigeria,2023-10-08,2023-10-28,2023-10-28,0,Rail,Union Pacific,Delivered,231,1386.0,0,0.28,low,0.087
SHP-0075,SUP-033,PRD-099,WH-10,Houston,Mexico,Bogotá,Colombia,2023-03-15,2023-03-19,2023-03-19,0,Road,DB Schenker,Delivered,251,31011.05,0,0.48,low,0.152
SHP-0076,SUP-031,PRD-091,WH-01,Atlanta,United States,Chicago,United States,2022-02-03,2022-02-07,2022-02-07,0,Sea,Maersk,Delivered,129,5366.4,0,0.91,low,0.288
SHP-0077,SUP-002,PRD-006,WH-07,Accra,Ghana,London,United Kingdom,2024-11-13,2024-12-10,2024-12-10,0,Rail,DB Cargo,Delivered,68,4216.0,0,0.36,low,0.118
SHP-0078,SUP-028,PRD-082,WH-11,Bogotá,Colombia,Santiago,Chile,2024-01-22,2024-02-11,2024-02-12,1,Sea,CMA CGM,Delayed,224,9004.8,1,0.52,medium,0.308
SHP-0079,SUP-019,PRD-057,WH-10,Bogotá,Peru,Bogotá,Colombia,2024-12-19,2025-01-01,2025-01-01,0,Air,Emirates SkyCargo,In Transit,173,4844.0,0,0.36,low,0.118
SHP-0080,SUP-041,PRD-122,WH-13,Shanghai,India,Tokyo,Japan,2023-11-16,2023-12-05,2023-12-05,0,Road,DB Schenker,Delivered,496,55378.4,0,0.31,low,0.096
SHP-0081,SUP-020,PRD-060,WH-12,Sydney,Singapore,Singapore,Singapore,2022-04-21,2022-05-19,2022-05-20,1,Air,Emirates SkyCargo,Delayed,377,21866.0,1,0.12,medium,0.185
SHP-0082,SUP-005,PRD-015,WH-03,Milan,Italy,Toronto,Canada,2024-10-30,2024-11-05,2024-11-06,1,Road,XPO Logistics,Delayed,87,3593.1,1,0.15,medium,0.194
SHP-0083,SUP-036,PRD-108,WH-14,Accra,Kenya,Johannesburg,South Africa,2024-03-28,2024-04-17,2024-04-20,3,Road,DB Schenker,Delayed,306,40055.4,1,0.71,medium,0.469
SHP-0084,SUP-031,PRD-093,WH-07,Houston,United States,London,United Kingdom,2024-12-09,2024-12-13,2024-12-14,1,Sea,CMA CGM,Delayed,65,468.0,1,0.68,medium,0.364
SHP-0085,SUP-032,PRD-095,WH-08,Nairobi,Kenya,Amsterdam,Netherlands,2023-01-26,2023-03-01,2023-03-01,0,Air,FedEx,Delivered,106,30740.0,0,0.65,low,0.205
SHP-0086,SUP-043,PRD-128,WH-01,Singapore,Australia,Chicago,United States,2022-04-02,2022-04-21,2022-04-21,0,Sea,Maersk,Delivered,407,35409.0,0,0.27,low,0.084
SHP-0087,SUP-008,PRD-022,WH-01,Houston,Mexico,Chicago,United States,2022-10-30,2022-11-04,2022-11-04,0,Road,XPO Logistics,Delivered,195,1023.75,0,0.26,low,0.079
SHP-0088,SUP-010,PRD-029,WH-05,Vancouver,Mexico,Berlin,Germany,2022-02-16,2022-02-19,2022-02-19,0,Sea,CMA CGM,Delivered,287,18655.0,0,0.28,low,0.085
SHP-0089,SUP-040,PRD-119,WH-15,London,United Kingdom,Lagos,Nigeria,2022-02-07,2022-02-17,2022-02-17,0,Sea,Maersk,Delivered,165,10857.0,0,0.71,low,0.224
SHP-0090,SUP-048,PRD-144,WH-02,São Paulo,Peru,Los Angeles,United States,2024-08-10,2024-08-24,2024-08-25,1,Sea,CMA CGM,Delayed,204,13056.0,1,0.31,medium,0.238
SHP-0091,SUP-002,PRD-005,WH-12,Lagos,Ghana,Singapore,Singapore,2024-02-19,2024-03-17,2024-03-17,0,Rail,Union Pacific,Delivered,463,26391.0,0,0.53,low,0.169
SHP-0092,SUP-008,PRD-022,WH-04,Vancouver,Mexico,Houston,United States,2024-11-11,2024-11-16,2024-11-16,0,Road,XPO Logistics,Delivered,197,1034.25,0,0.26,low,0.079
SHP-0093,SUP-028,PRD-084,WH-02,Buenos Aires,Colombia,Los Angeles,United States,2024-10-23,2024-11-12,2024-11-13,1,Sea,MSC,Delayed,475,190.0,1,0.65,medium,0.347
SHP-0094,SUP-003,PRD-009,WH-01,Amsterdam,Italy,Chicago,United States,2022-11-07,2022-11-12,2022-11-12,0,Sea,Maersk,Delivered,64,5875.2,0,0.27,low,0.084
SHP-0095,SUP-039,PRD-117,WH-07,Houston,Mexico,London,United Kingdom,2022-11-10,2022-11-15,2022-11-15,0,Sea,CMA CGM,Delivered,87,8700.0,0,0.41,low,0.131
SHP-0096,SUP-012,PRD-036,WH-14,Amsterdam,Spain,Johannesburg,South Africa,2022-10-10,2022-10-17,2022-10-17,0,Road,J.B. Hunt,Delivered,485,53301.5,0,0.39,low,0.123
SHP-0097,SUP-013,PRD-039,WH-01,Jakarta,Singapore,Chicago,United States,2022-05-19,2022-06-08,2022-06-08,0,Air,FedEx,Delivered,449,190825.0,0,0.31,low,0.095
SHP-0098,SUP-049,PRD-145,WH-10,Dallas,Canada,Bogotá,Colombia,2024-04-22,2024-04-27,2024-04-27,0,Road,J.B. Hunt,Delivered,497,11132.8,0,0.27,low,0.084
SHP-0099,SUP-013,PRD-037,WH-13,Seoul,Singapore,Tokyo,Japan,2024-12-09,2024-12-29,2024-12-29,0,Sea,CMA CGM,In Transit,138,8307.6,0,0.12,low,0.038
SHP-0100,SUP-003,PRD-008,WH-06,Milan,Italy,Paris,France,2022-10-02,2022-10-07,2022-10-07,0,Road,J.B. Hunt,Delivered,352,49526.4,0,0.16,low,0.051
SHP-0101,SUP-030,PRD-089,WH-15,Seoul,Japan,Lagos,Nigeria,2022-12-02,2022-12-20,2022-12-21,1,Air,FedEx,Delayed,231,11088.0,1,0.72,medium,0.374
SHP-0102,SUP-046,PRD-136,WH-02,Tokyo,India,Los Angeles,United States,2022-12-29,2023-01-18,2023-01-18,0,Rail,BNSF Railway,Delivered,270,1620.0,0,0.26,low,0.081
SHP-0103,SUP-035,PRD-103,WH-12,Cairo,Kenya,Singapore,Singapore,2022-03-27,2022-04-22,2022-04-22,0,Road,DB Schenker,Delivered,333,38228.4,0,0.33,low,0.102
SHP-0104,SUP-041,PRD-123,WH-12,Tokyo,India,Singapore,Singapore,2024-07-13,2024-08-01,2024-08-01,0,Rail,DB Cargo,Delivered,285,23512.5,0,0.21,low,0.066
SHP-0105,SUP-050,PRD-148,WH-14,Shanghai,Japan,Johannesburg,South Africa,2023-01-24,2023-02-11,2023-02-13,2,Sea,MSC,Delayed,170,2244.0,1,0.83,medium,0.456
SHP-0106,SUP-005,PRD-015,WH-14,London,Italy,Johannesburg,South Africa,2024-08-07,2024-08-13,2024-08-13,0,Road,XPO Logistics,Delivered,112,4625.6,0,0.28,low,0.088
SHP-0107,SUP-048,PRD-144,WH-11,Santiago,Peru,Santiago,Chile,2024-04-26,2024-05-10,2024-05-11,1,Road,XPO Logistics,Delayed,471,52752.0,1,0.19,medium,0.202
SHP-0108,SUP-022,PRD-065,WH-08,Buenos Aires,Chile,Amsterdam,Netherlands,2024-11-21,2024-12-09,2024-12-09,0,Sea,MSC,Delivered,392,24382.4,0,0.29,low,0.09
SHP-0109,SUP-038,PRD-114,WH-03,Dallas,Canada,Toronto,Canada,2022-11-19,2022-11-22,2022-11-22,0,Road,XPO Logistics,Delivered,464,20787.2,0,0.09,low,0.029
SHP-0110,SUP-048,PRD-142,WH-04,Bogotá,Peru,Houston,United States,2023-09-26,2023-10-10,2023-10-10,0,Sea,Maersk,Delivered,80,4368.0,0,0.32,low,0.096
SHP-0111,SUP-018,PRD-052,WH-15,Madrid,Poland,Lagos,Nigeria,2022-01-26,2022-02-01,2022-02-01,0,Sea,Maersk,Delivered,331,9003.2,0,0.61,low,0.193
SHP-0112,SUP-021,PRD-061,WH-15,Singapore,Australia,Lagos,Nigeria,2024-04-19,2024-05-17,2024-05-17,0,Rail,Union Pacific,Cancelled,337,28982.0,0,0.84,low,0.267
SHP-0113,SUP-018,PRD-052,WH-07,London,Poland,London,United Kingdom,2022-04-23,2022-04-29,2022-05-04,5,Road,J.B. Hunt,Delayed,172,8187.2,1,0.45,medium,0.47
SHP-0114,SUP-008,PRD-022,WH-02,Dallas,Mexico,Los Angeles,United States,2023-12-22,2023-12-27,2023-12-27,0,Road,J.B. Hunt,Delivered,110,577.5,0,0.34,low,0.103
SHP-0115,SUP-050,PRD-150,WH-04,Shanghai,Japan,Houston,United States,2022-07-10,2022-07-28,2022-08-12,15,Road,J.B. Hunt,Delayed,53,2467.15,1,0.74,high,0.789
SHP-0116,SUP-012,PRD-034,WH-01,Stockholm,Spain,Chicago,United States,2024-12-15,2024-12-22,2024-12-22,0,Sea,Maersk,In Transit,333,932.4,0,0.37,low,0.117
SHP-0117,SUP-041,PRD-123,WH-13,Singapore,India,Tokyo,Japan,2023-08-12,2023-08-31,2023-08-31,0,Air,Emirates SkyCargo,Delivered,339,111870.0,0,0.16,low,0.051
SHP-0118,SUP-012,PRD-036,WH-15,Milan,Spain,Lagos,Nigeria,2024-11-30,2024-12-07,2024-12-07,0,Sea,Maersk,Delivered,472,29641.6,0,0.53,low,0.165
SHP-0119,SUP-048,PRD-143,WH-01,São Paulo,Peru,Chicago,United States,2024-10-24,2024-11-07,2024-11-07,0,Road,DB Schenker,Delivered,231,39131.4,0,0.06,low,0.018
SHP-0120,SUP-028,PRD-084,WH-08,Buenos Aires,Colombia,Amsterdam,Netherlands,2022-01-24,2022-02-13,2022-02-13,0,Sea,Maersk,Delivered,177,70.8,0,0.44,low,0.139
SHP-0121,SUP-040,PRD-119,WH-05,Paris,United Kingdom,Berlin,Germany,2023-11-14,2023-11-24,2023-12-03,9,Air,DHL,Delayed,119,39151.0,1,0.75,high,0.741
SHP-0122,SUP-027,PRD-081,WH-04,Milan,Germany,Houston,United States,2022-03-14,2022-03-24,2022-03-24,0,Road,J.B. Hunt,Delivered,478,13551.3,0,0.45,low,0.142
SHP-0123,SUP-032,PRD-096,WH-14,Accra,Kenya,Johannesburg,South Africa,2023-09-06,2023-10-10,2023-10-10,0,Sea,Maersk,Delivered,126,6123.6,0,0.52,low,0.166
SHP-0124,SUP-027,PRD-080,WH-06,London,Germany,Paris,France,2023-07-29,2023-08-08,2023-08-08,0,Sea,CMA CGM,Delivered,451,21287.2,0,0.4,low,0.127
SHP-0125,SUP-043,PRD-128,WH-01,Tokyo,Australia,Chicago,United States,2023-09-24,2023-10-13,2023-10-13,0,Air,FedEx,Delivered,64,27840.0,0,0.2,low,0.063
SHP-0126,SUP-021,PRD-062,WH-15,Ho Chi Minh City,Australia,Lagos,Nigeria,2023-03-19,2023-04-16,2023-04-19,3,Air,DHL,Delayed,247,10868.0,1,0.8,medium,0.49
SHP-0127,SUP-036,PRD-108,WH-05,Lagos,Kenya,Berlin,Germany,2023-11-28,2023-12-18,2023-12-18,0,Sea,MSC,Delivered,93,6956.4,0,0.88,low,0.285
SHP-0128,SUP-009,PRD-027,WH-07,Amsterdam,Poland,London,United Kingdom,2022-03-16,2022-03-26,2022-03-26,0,Sea,Maersk,Delivered,179,5012.0,0,0.63,low,0.195
SHP-0129,SUP-047,PRD-141,WH-02,New York,United States,Los Angeles,United States,2024-08-14,2024-08-21,2024-08-21,0,Road,J.B. Hunt,Delivered,179,13970.95,0,0.06,low,0.019
SHP-0130,SUP-025,PRD-075,WH-01,Bogotá,Brazil,Chicago,United States,2023-12-11,2023-12-23,2023-12-23,0,Sea,Maersk,Delivered,160,9568.0,0,0.68,low,0.215
SHP-0131,SUP-044,PRD-132,WH-15,Lagos,Nigeria,Lagos,Nigeria,2023-12-19,2024-01-09,2024-01-09,0,Air,Emirates SkyCargo,Delivered,431,144816.0,0,0.13,low,0.043
SHP-0132,SUP-021,PRD-061,WH-13,Ho Chi Minh City,Australia,Tokyo,Japan,2023-11-25,2023-12-23,2023-12-23,0,Rail,DB Cargo,Cancelled,74,6364.0,0,0.77,low,0.246
SHP-0133,SUP-008,PRD-023,WH-11,Toronto,Mexico,Santiago,Chile,2024-07-02,2024-07-07,2024-07-07,0,Road,J.B. Hunt,Delivered,408,11852.4,0,0.25,low,0.076
SHP-0134,SUP-039,PRD-115,WH-05,Toronto,Mexico,Berlin,Germany,2022-07-10,2022-07-15,2022-07-15,0,Sea,MSC,Delivered,178,2848.0,0,0.56,low,0.176
SHP-0135,SUP-048,PRD-143,WH-05,Buenos Aires,Peru,Berlin,Germany,2024-11-28,2024-12-12,2024-12-12,0,Air,Emirates SkyCargo,Delivered,189,91476.0,0,0.29,low,0.087
SHP-0136,SUP-026,PRD-077,WH-13,Johannesburg,South Africa,Tokyo,Japan,2022-05-14,2022-06-04,2022-06-05,1,Air,FedEx,Delayed,329,126007.0,1,0.52,medium,0.307
