product_id,product_name,category,supplier_id,unit_cost_usd,unit_price_usd,weight_kg,reorder_point_units,safety_stock_days
PRD-083,Outdoor Garden Chair,Furniture,SUP-028,78.21,94.42,12.7,109,19
PRD-084,Bar Stool Set of 2,Furniture,SUP-028,1730.5,2917.97,0.2,495,24
PRD-085,Nail Care Set,Health & Beauty,SUP-029,926.64,1098.28,26.0,368,22
PRD-086,Eye Cream 15ml,Health & Beauty,SUP-029,1252.69,2059.41,10.3,331,11
PRD-087,Detox Charcoal Mask,Health & Beauty,SUP-029,1855.71,2662.53,34.9,112,7
PRD-088,Sparkling Water 24-Pack,Food & Beverage,SUP-030,1946.43,3008.73,12.0,131,16
PRD-089,Energy Bars Box of 12,Food & Beverage,SUP-030,1103.92,1665.77,4.8,480,10
PRD-090,Instant Oats 1kg,Food & Beverage,SUP-030,925.59,1135.1,41.6,305,29
PRD-091,Jump Rope Speed,Sports,SUP-031,587.26,944.62,20.8,297,22
PRD-092,Foam Roller 60cm,Sports,SUP-031,491.24,740.95,19.2,356,23
PRD-093,Weight Bench Flat,Sports,SUP-031,1493.85,1850.48,3.6,445,20
PRD-094,RFID Reader Kit,Technology,SUP-032,683.05,1135.24,13.4,51,16
PRD-095,Single-Board Computer Kit,Technology,SUP-032,1453.47,2462.7,29.0,387,22
PRD-096,Thermal Label Printer,Technology,SUP-032,1731.19,2493.36,24.3,220,24
PRD-097,Mechanical Keyboard,Electronics,SUP-033,1526.93,2130.35,46.6,495,13
PRD-098,Smart Thermostat,Electronics,SUP-033,1961.65,2560.39,19.2,488,20
PRD-099,Security Camera,Electronics,SUP-033,92.08,150.46,35.3,465,19
PRD-100,Kids' School Uniform Set,Apparel,SUP-034,775.23,1225.95,41.1,127,22
PRD-101,Women's Trench Coat,Apparel,SUP-034,1929.82,2377.65,48.3,219,10
PRD-102,Men's Puffer Vest,Apparel,SUP-034,1749.01,2511.93,26.3,283,7
PRD-103,Waterproof Rain Boots,Footwear,SUP-035,1446.28,2048.64,32.8,129,9
PRD-104,Men's Flip Flops,Footwear,SUP-035,941.63,1676.08,17.0,404,19
PRD-105,Women's Wedge Sandals,Footwear,SUP-035,1301.42,2217.16,42.6,489,24
PRD-106,TV Entertainment Unit,Furniture,SUP-036,763.12,1034.66,36.0,438,22
PRD-107,Corner Desk,Furniture,SUP-036,1745.4,2047.94,3.5,373,28
PRD-108,Kids' Bunk Bed,Furniture,SUP-036,1842.25,3312.97,37.4,272,10
PRD-109,Whitening Toothpaste,Health & Beauty,SUP-037,1521.94,2446.56,5.1,135,29
PRD-110,Anti-Aging Night Cream,Health & Beauty,SUP-037,602.43,704.13,16.3,78,16
PRD-111,Hydrating Lip Balm Pack,Health & Beauty,SUP-037,720.13,1029.75,12.3,260,25
PRD-112,Matcha Powder 250g,Food & Beverage,SUP-038,1365.19,1729.75,8.8,362,19
PRD-113,Turmeric Supplement,Food & Beverage,SUP-038,1241.32,1621.83,45.7,123,14
PRD-114,Apple Cider Vinegar 1L,Food & Beverage,SUP-038,924.99,1216.44,12.8,54,21
PRD-115,Badminton Racket Set,Sports,SUP-039,1802.91,2867.43,8.0,276,18
PRD-116,Gym Gloves Pair,Sports,SUP-039,1975.37,2655.79,48.1,403,15
PRD-117,Pull-Up Bar Doorframe,Sports,SUP-039,916.39,1233.81,50.0,486,22
PRD-118,Barcode Scanner Wireless,Technology,SUP-040,217.77,304.42,18.0,201,29
PRD-119,VoIP Desk Phone,Technology,SUP-040,593.99,1060.67,32.9,190,7
PRD-120,Managed PoE Switch,Technology,SUP-040,1134.03,1809.65,37.3,75,26
PRD-121,14-inch Laptop Pro,Electronics,SUP-041,1491.62,2522.84,45.2,447,14
PRD-122,Wireless Noise-Cancelling Headphones,Electronics,SUP-041,1216.09,1677.0,31.9,367,15
PRD-123,4K Smart TV 55-inch,Electronics,SUP-041,1357.14,2196.67,33.0,479,11
PRD-124,Men's Slim-Fit Chinos,Apparel,SUP-042,1258.35,2186.02,32.4,208,21
PRD-125,Women's Quilted Jacket,Apparel,SUP-042,71.56,99.27,6.7,201,17
PRD-126,Unisex Hoodie,Apparel,SUP-042,1496.22,1891.47,6.7,326,18
PRD-127,Men's Trail Running Shoes,Footwear,SUP-043,1064.05,1855.45,41.5,181,22
PRD-128,Women's Slip-On Sneakers,Footwear,SUP-043,1934.93,2596.37,43.5,461,10
PRD-129,Kids' School Shoes,Footwear,SUP-043,939.32,1126.19,37.7,165,28
PRD-130,Ergonomic Office Chair,Furniture,SUP-044,1449.81,2590.76,48.4,461,24
PRD-131,Solid Wood Dining Table,Furniture,SUP-044,734.72,1222.53,0.8,324,10
PRD-132,3-Seat Fabric Sofa,Furniture,SUP-044,912.3,1448.13,33.6,349,19
PRD-133,Vitamin C Serum 30ml,Health & Beauty,SUP-045,1645.72,2898.43,5.5,169,22
PRD-134,Collagen Face Cream,Health & Beauty,SUP-045,54.92,94.72,28.1,362,14
PRD-135,Electric Toothbrush Kit,Health & Beauty,SUP-045,1297.07,2027.34,23.3,408,16
PRD-136,Organic Green Tea 100-Pack,Food & Beverage,SUP-046,1300.23,1593.87,2.4,69,16
PRD-137,Dark Roast Coffee Beans 1kg,Food & Beverage,SUP-046,1991.88,2441.01,11.8,325,11
PRD-138,Extra Virgin Olive Oil 500ml,Food & Beverage,SUP-046,780.35,1085.59,47.5,406,24
PRD-139,Adjustable Dumbbell Set,Sports,SUP-047,841.16,1373.17,7.8,262,27
PRD-140,Yoga Mat Premium,Sports,SUP-047,202.55,297.36,20.5,193,8
PRD-141,Resistance Bands Kit,Sports,SUP-047,1382.11,1784.62,22.3,170,18
PRD-142,Wi-Fi 6 Router,Technology,SUP-048,203.21,324.26,27.3,380,18
PRD-143,Network Switch 24-Port,Technology,SUP-048,125.8,167.23,48.4,484,21
PRD-144,Raspberry Pi 4 Kit,Technology,SUP-048,187.89,241.98,32.0,60,8
PRD-145,Portable Bluetooth Speaker,Electronics,SUP-049,1574.66,2060.16,6.4,339,13
PRD-146,USB-C Docking Station,Electronics,SUP-049,141.88,233.73,10.4,160,14
PRD-147,Digital Camera Kit,Electronics,SUP-049,660.48,822.9,45.0,51,15
PRD-148,Men's Formal Shirt,Apparel,SUP-050,1717.52,2136.68,6.6,178,12
PRD-149,Women's Summer Dress,Apparel,SUP-050,224.3,384.27,6.7,233,14
PRD-150,Kids' Denim Jeans,Apparel,SUP-050,1179.76,1368.83,13.3,114,30
