inventory_id,product_id,warehouse_id,stock_level_units,reorder_point_units,avg_daily_demand,days_of_supply,last_replenishment_date,stockout_count_30d,status
INV-0071,PRD-018,WH-04,598,249,11.6,51,2024-09-29,0,healthy
INV-0072,PRD-018,WH-03,388,249,44.8,8,2024-09-07,1,healthy
INV-0073,PRD-019,WH-04,902,344,49.8,18,2024-09-04,0,healthy
INV-0074,PRD-019,WH-09,862,344,46.9,18,2024-09-18,0,healthy
INV-0075,PRD-019,WH-03,1002,344,17.9,55,2024-11-30,0,healthy
INV-0076,PRD-019,WH-02,524,344,25.2,20,2024-09-03,0,healthy
INV-0077,PRD-020,WH-03,496,249,39.9,12,2024-09-16,1,healthy
INV-0078,PRD-020,WH-02,702,249,15.7,44,2024-09-09,1,healthy
INV-0079,PRD-020,WH-10,630,249,42.7,14,2024-11-20,0,healthy
INV-0080,PRD-020,WH-04,742,249,30.9,24,2024-10-08,0,healthy
INV-0081,PRD-021,WH-04,291,162,30.7,9,2024-11-07,0,healthy
INV-0082,PRD-021,WH-01,378,162,8.0,47,2024-10-20,0,healthy
INV-0083,PRD-021,WH-09,343,162,7.0,49,2024-10-03,1,healthy
INV-0084,PRD-021,WH-03,18,162,5.7,3,2024-10-01,3,critical
INV-0085,PRD-022,WH-10,614,222,7.0,87,2024-11-22,1,healthy
INV-0086,PRD-022,WH-11,572,222,42.4,13,2024-11-20,1,healthy
INV-0087,PRD-022,WH-01,367,222,41.5,8,2024-09-05,1,healthy
INV-0088,PRD-022,WH-03,437,222,14.1,30,2024-10-11,0,healthy
INV-0089,PRD-023,WH-03,767,289,6.6,116,2024-10-07,0,healthy
INV-0090,PRD-023,WH-09,460,289,43.8,10,2024-10-05,1,healthy
INV-0091,PRD-023,WH-04,659,289,41.0,16,2024-10-27,1,healthy
INV-0092,PRD-023,WH-10,531,289,20.3,26,2024-11-28,1,healthy
INV-0093,PRD-024,WH-04,613,353,37.7,16,2024-11-17,1,healthy
INV-0094,PRD-024,WH-03,861,353,29.5,29,2024-09-11,0,healthy
INV-0095,PRD-024,WH-09,846,353,34.7,24,2024-11-17,1,healthy
INV-0096,PRD-024,WH-10,228,353,24.2,9,2024-10-28,3,critical
INV-0097,PRD-025,WH-01,802,493,17.4,46,2024-11-25,0,healthy
INV-0098,PRD-025,WH-06,624,493,23.3,26,2024-11-26,2,low
INV-0099,PRD-025,WH-03,890,493,47.9,18,2024-09-05,1,healthy
INV-0100,PRD-025,WH-05,1404,493,8.0,175,2024-10-17,1,healthy
INV-0101,PRD-026,WH-07,614,282,35.6,17,2024-10-27,1,healthy
INV-0102,PRD-026,WH-05,71,282,8.5,8,2024-10-21,3,critical
INV-0103,PRD-026,WH-01,552,282,34.2,16,2024-09-04,0,healthy
INV-0104,PRD-026,WH-08,266,282,13.4,19,2024-11-11,4,critical
INV-0105,PRD-027,WH-02,1009,475,49.8,20,2024-09-26,1,healthy
INV-0106,PRD-027,WH-03,792,475,11.1,71,2024-09-23,1,healthy
INV-0107,PRD-027,WH-07,45,475,25.0,1,2024-11-25,3,critical
INV-0108,PRD-027,WH-04,1280,475,36.9,34,2024-10-09,1,healthy
INV-0109,PRD-028,WH-11,594,326,15.1,39,2024-10-01,0,healthy
INV-0110,PRD-028,WH-02,775,326,6.2,125,2024-10-30,1,healthy
INV-0111,PRD-028,WH-10,348,326,10.8,32,2024-10-10,0,low
INV-0112,PRD-028,WH-03,860,326,50.0,17,2024-11-07,1,healthy
INV-0113,PRD-029,WH-04,1334,449,48.8,27,2024-10-28,0,healthy
INV-0114,PRD-029,WH-11,1029,449,35.6,28,2024-11-10,0,healthy
INV-0115,PRD-029,WH-09,645,449,31.5,20,2024-10-26,0,low
INV-0116,PRD-029,WH-01,733,449,46.0,15,2024-11-06,0,healthy
INV-0117,PRD-030,WH-02,953,479,47.1,20,2024-11-06,1,healthy
INV-0118,PRD-030,WH-03,979,479,43.1,22,2024-11-21,0,healthy
INV-0119,PRD-030,WH-11,639,479,17.4,36,2024-11-18,1,low
INV-0120,PRD-030,WH-09,1379,479,9.2,149,2024-11-15,0,healthy
INV-0121,PRD-031,WH-09,109,108,6.9,15,2024-09-06,0,low
INV-0122,PRD-031,WH-02,124,108,39.7,3,2024-09-27,2,low
INV-0123,PRD-031,WH-10,0,108,30.7,0,2024-11-21,5,stockout
INV-0124,PRD-031,WH-03,323,108,27.4,11,2024-11-22,1,healthy
INV-0125,PRD-032,WH-03,711,238,25.4,27,2024-09-21,0,healthy
INV-0126,PRD-032,WH-04,596,238,23.7,25,2024-10-14,0,healthy
INV-0127,PRD-032,WH-02,348,238,11.5,30,2024-10-11,2,low
INV-0128,PRD-032,WH-10,89,238,49.5,1,2024-09-17,4,critical
INV-0129,PRD-033,WH-11,801,448,15.9,50,2024-10-28,1,healthy
INV-0130,PRD-033,WH-03,727,448,11.3,64,2024-10-20,1,healthy
INV-0131,PRD-033,WH-09,669,448,23.8,28,2024-10-12,0,low
INV-0132,PRD-033,WH-01,496,448,37.5,13,2024-11-03,0,low
INV-0133,PRD-034,WH-08,516,209,9.1,56,2024-10-01,1,healthy
INV-0134,PRD-034,WH-04,339,209,31.3,10,2024-10-07,0,healthy
INV-0135,PRD-034,WH-03,555,209,31.9,17,2024-11-08,1,healthy
INV-0136,PRD-034,WH-07,535,209,43.1,12,2024-10-04,0,healthy
INV-0137,PRD-035,WH-06,1211,416,23.0,52,2024-10-17,0,healthy
INV-0138,PRD-035,WH-07,514,416,18.0,28,2024-10-28,2,low
INV-0139,PRD-035,WH-04,320,416,29.7,10,2024-09-17,1,critical
INV-0140,PRD-035,WH-03,975,416,22.7,42,2024-09-19,1,healthy
INV-0141,PRD-036,WH-04,163,102,6.8,23,2024-12-01,0,healthy
INV-0142,PRD-036,WH-05,286,102,41.2,6,2024-09-20,1,healthy
INV-0143,PRD-036,WH-07,110,102,45.2,2,2024-11-18,1,low
INV-0144,PRD-036,WH-08,230,102,12.3,18,2024-11-04,1,healthy
INV-0145,PRD-037,WH-12,163,111,18.5,8,2024-10-18,0,low
INV-0146,PRD-037,WH-13,273,111,35.3,7,2024-11-28,1,healthy
INV-0147,PRD-037,WH-04,141,111,6.2,22,2024-11-23,1,low
INV-0148,PRD-037,WH-03,0,111,31.0,0,2024-09-07,3,stockout
INV-0149,PRD-038,WH-12,338,239,37.5,9,2024-09-19,1,low
INV-0150,PRD-038,WH-04,312,239,15.9,19,2024-09-15,2,low
INV-0151,PRD-038,WH-02,520,239,5.9,88,2024-09-20,1,healthy
INV-0152,PRD-038,WH-03,570,239,36.1,15,2024-09-08,1,healthy
INV-0153,PRD-039,WH-13,1200,471,49.9,24,2024-10-11,1,healthy
INV-0154,PRD-039,WH-02,1256,471,25.7,48,2024-11-09,1,healthy
INV-0155,PRD-039,WH-12,1408,471,35.4,39,2024-11-18,1,healthy
INV-0156,PRD-039,WH-03,963,471,13.7,70,2024-11-11,1,healthy
INV-0157,PRD-040,WH-03,361,474,14.3,25,2024-10-11,4,critical
INV-0158,PRD-040,WH-02,995,474,20.7,48,2024-09-16,1,healthy
INV-0159,PRD-040,WH-11,571,474,35.4,16,2024-10-15,1,low
INV-0160,PRD-040,WH-09,0,474,41.2,0,2024-09-06,4,stockout
INV-0161,PRD-041,WH-03,1068,383,34.5,30,2024-09-26,0,healthy
INV-0162,PRD-041,WH-10,856,383,17.2,49,2024-09-14,0,healthy
INV-0163,PRD-041,WH-01,444,383,38.3,11,2024-09-07,0,low
INV-0164,PRD-041,WH-11,440,383,45.7,9,2024-09-30,2,low
INV-0165,PRD-042,WH-01,71,288,26.3,2,2024-11-10,1,critical
INV-0166,PRD-042,WH-11,677,288,23.3,29,2024-11-23,1,healthy
INV-0167,PRD-042,WH-04,581,288,39.0,14,2024-10-07,1,healthy
INV-0168,PRD-042,WH-03,310,288,7.7,40,2024-11-13,2,low
INV-0169,PRD-043,WH-04,354,175,23.8,14,2024-10-21,0,healthy
INV-0170,PRD-043,WH-05,412,175,13.4,30,2024-09-02,0,healthy
INV-0171,PRD-043,WH-06,318,175,30.6,10,2024-10-07,1,healthy
INV-0172,PRD-043,WH-01,516,175,49.5,10,2024-11-04,0,healthy
INV-0173,PRD-044,WH-08,748,341,12.3,60,2024-12-01,1,healthy
INV-0174,PRD-044,WH-03,686,341,5.6,122,2024-11-12,1,healthy
INV-0175,PRD-044,WH-02,385,341,39.1,9,2024-11-21,2,low
INV-0176,PRD-044,WH-01,777,341,42.2,18,2024-09-12,1,healthy
INV-0177,PRD-045,WH-07,453,216,26.5,17,2024-10-04,0,healthy
INV-0178,PRD-045,WH-06,462,216,15.6,29,2024-10-09,1,healthy
INV-0179,PRD-045,WH-01,217,216,37.5,5,2024-11-23,1,low
INV-0180,PRD-045,WH-02,357,216,36.2,9,2024-10-30,0,healthy
INV-0181,PRD-046,WH-07,450,193,46.5,9,2024-11-21,0,healthy
INV-0182,PRD-046,WH-06,404,193,21.5,18,2024-09-18,0,healthy
INV-0183,PRD-046,WH-08,482,193,11.9,40,2024-11-29,1,healthy
INV-0184,PRD-046,WH-15,289,193,46.1,6,2024-11-25,2,low
INV-0185,PRD-047,WH-06,313,147,28.8,10,2024-11-12,0,healthy
INV-0186,PRD-047,WH-15,361,147,7.8,46,2024-11-13,0,healthy
INV-0187,PRD-047,WH-05,304,147,11.7,25,2024-09-15,1,healthy
INV-0188,PRD-047,WH-07,209,147,14.2,14,2024-11-05,0,low
INV-0189,PRD-048,WH-08,290,173,23.7,12,2024-11-26,1,healthy
INV-0190,PRD-048,WH-05,463,173,37.5,12,2024-09-01,1,healthy
INV-0191,PRD-048,WH-15,19,173,14.8,1,2024-10-25,1,critical
INV-0192,PRD-048,WH-14,291,173,36.5,7,2024-10-31,0,healthy
INV-0193,PRD-049,WH-05,0,58,11.1,0,2024-11-22,5,stockout
INV-0194,PRD-049,WH-07,135,58,21.9,6,2024-10-19,1,healthy
INV-0195,PRD-049,WH-08,171,58,8.6,19,2024-11-23,0,healthy
INV-0196,PRD-049,WH-15,155,58,10.3,15,2024-11-07,1,healthy
INV-0197,PRD-050,WH-06,1144,389,25.8,44,2024-11-08,1,healthy
INV-0198,PRD-050,WH-15,840,389,42.1,19,2024-10-15,1,healthy
INV-0199,PRD-050,WH-05,702,389,17.4,40,2024-11-24,0,healthy
INV-0200,PRD-050,WH-08,603,389,32.7,18,2024-09-27,0,healthy
INV-0201,PRD-051,WH-05,443,431,35.2,12,2024-09-06,0,low
INV-0202,PRD-051,WH-15,1202,431,24.8,48,2024-09-08,0,healthy
INV-0203,PRD-051,WH-14,946,431,27.7,34,2024-11-13,0,healthy
INV-0204,PRD-051,WH-06,978,431,31.0,31,2024-10-09,0,healthy
INV-0205,PRD-052,WH-03,299,178,18.5,16,2024-11-20,0,healthy
INV-0206,PRD-052,WH-06,241,178,24.2,9,2024-10-15,0,low
INV-0207,PRD-052,WH-05,245,178,35.2,6,2024-11-29,1,low
INV-0208,PRD-052,WH-02,421,178,23.4,17,2024-09-24,1,healthy
INV-0209,PRD-053,WH-08,238,324,11.5,20,2024-11-11,1,critical
INV-0210,PRD-053,WH-02,774,324,48.6,15,2024-10-20,0,healthy
INV-0211,PRD-053,WH-07,658,324,16.5,39,2024-10-28,0,healthy
INV-0212,PRD-053,WH-03,859,324,9.2,93,2024-09-07,0,healthy
INV-0213,PRD-054,WH-05,438,420,6.8,64,2024-11-15,0,low
INV-0214,PRD-054,WH-04,112,420,35.2,3,2024-09-27,4,critical
INV-0215,PRD-054,WH-06,649,420,18.6,34,2024-09-25,0,healthy
INV-0216,PRD-054,WH-08,387,420,10.3,37,2024-10-02,4,critical
INV-0217,PRD-055,WH-10,224,101,29.8,7,2024-10-30,1,healthy
INV-0218,PRD-055,WH-09,230,101,34.2,6,2024-10-17,1,healthy
INV-0219,PRD-055,WH-02,271,101,44.7,6,2024-10-31,0,healthy
INV-0220,PRD-055,WH-04,27,101,42.8,0,2024-10-11,3,critical
INV-0221,PRD-056,WH-04,134,412,11.6,11,2024-10-08,4,critical
INV-0222,PRD-056,WH-01,857,412,13.8,62,2024-11-12,1,healthy
INV-0223,PRD-056,WH-09,967,412,27.5,35,2024-11-02,1,healthy
INV-0224,PRD-056,WH-02,252,412,33.9,7,2024-09-22,4,critical
INV-0225,PRD-057,WH-10,48,199,29.6,1,2024-11-07,1,critical
INV-0226,PRD-057,WH-03,338,199,42.8,7,2024-09-01,0,healthy
INV-0227,PRD-057,WH-02,418,199,11.2,37,2024-11-30,0,healthy
INV-0228,PRD-057,WH-09,558,199,5.4,103,2024-10-18,1,healthy
INV-0229,PRD-058,WH-01,290,102,5.7,50,2024-09-02,1,healthy
INV-0230,PRD-058,WH-12,224,102,28.8,7,2024-09-03,1,healthy
INV-0231,PRD-058,WH-04,264,102,41.6,6,2024-09-14,0,healthy
INV-0232,PRD-058,WH-03,215,102,28.6,7,2024-11-19,0,healthy
INV-0233,PRD-059,WH-12,320,144,8.6,37,2024-11-12,1,healthy
INV-0234,PRD-059,WH-03,274,144,49.6,5,2024-11-27,1,healthy
INV-0235,PRD-059,WH-13,383,144,34.4,11,2024-09-12,0,healthy
INV-0236,PRD-059,WH-02,358,144,22.1,16,2024-09-08,1,healthy
INV-0237,PRD-060,WH-13,207,83,43.0,4,2024-11-12,1,healthy
INV-0238,PRD-060,WH-01,242,83,45.3,5,2024-09-30,0,healthy
INV-0239,PRD-060,WH-02,213,83,45.6,4,2024-10-05,1,healthy
INV-0240,PRD-060,WH-12,212,83,46.6,4,2024-11-09,1,healthy
INV-0241,PRD-061,WH-12,341,127,48.3,7,2024-12-01,0,healthy
INV-0242,PRD-061,WH-01,165,127,46.8,3,2024-11-12,0,low
INV-0243,PRD-061,WH-02,290,127,30.5,9,2024-10-20,1,healthy
INV-0244,PRD-061,WH-04,0,127,38.3,0,2024-09-11,5,stockout
INV-0245,PRD-062,WH-12,186,177,15.4,12,2024-11-17,1,low
INV-0246,PRD-062,WH-03,0,177,32.6,0,2024-10-21,5,stockout
INV-0247,PRD-062,WH-01,0,177,19.7,0,2024-10-05,5,stockout
INV-0248,PRD-062,WH-04,222,177,27.1,8,2024-10-19,2,low
INV-0249,PRD-063,WH-04,0,366,32.8,0,2024-12-01,3,stockout
INV-0250,PRD-063,WH-02,709,366,8.7,81,2024-12-01,1,healthy
INV-0251,PRD-063,WH-13,200,366,11.9,16,2024-10-17,3,critical
INV-0252,PRD-063,WH-01,867,366,9.1,95,2024-10-17,1,healthy
INV-0253,PRD-064,WH-11,534,202,13.4,39,2024-09-14,1,healthy
INV-0254,PRD-064,WH-03,588,202,9.0,65,2024-11-16,0,healthy
INV-0255,PRD-064,WH-01,251,202,40.3,6,2024-10-08,0,low
INV-0256,PRD-064,WH-02,212,202,22.5,9,2024-11-11,2,low
INV-0257,PRD-065,WH-02,72,362,22.1,3,2024-10-09,3,critical
INV-0258,PRD-065,WH-09,610,362,27.2,22,2024-10-26,0,healthy
INV-0259,PRD-065,WH-10,1041,362,23.9,43,2024-10-17,0,healthy
INV-0260,PRD-065,WH-11,1053,362,47.5,22,2024-10-29,0,healthy
INV-0261,PRD-066,WH-01,264,185,19.9,13,2024-10-13,1,low
INV-0262,PRD-066,WH-02,268,185,20.1,13,2024-09-18,2,low
INV-0263,PRD-066,WH-03,381,185,19.4,19,2024-10-11,1,healthy
INV-0264,PRD-066,WH-11,442,185,48.4,9,2024-11-28,1,healthy
INV-0265,PRD-067,WH-13,180,130,17.6,10,2024-09-15,1,low
INV-0266,PRD-067,WH-04,153,130,14.0,10,2024-11-10,2,low
INV-0267,PRD-067,WH-02,314,130,47.9,6,2024-10-27,0,healthy
INV-0268,PRD-067,WH-12,213,130,42.4,5,2024-11-26,1,healthy
INV-0269,PRD-068,WH-04,190,66,34.6,5,2024-10-19,1,healthy
INV-0270,PRD-068,WH-02,175,66,25.2,6,2024-11-14,1,healthy
INV-0271,PRD-068,WH-03,92,66,29.0,3,2024-09-05,2,low
INV-0272,PRD-068,WH-01,71,66,36.6,1,2024-10-02,0,low
INV-0273,PRD-069,WH-13,127,86,7.0,18,2024-11-22,2,low
INV-0274,PRD-069,WH-03,107,86,48.5,2,2024-09-14,1,low
INV-0275,PRD-069,WH-02,185,86,9.4,19,2024-10-28,0,healthy
INV-0276,PRD-069,WH-12,129,86,22.6,5,2024-11-28,2,low
INV-0277,PRD-070,WH-12,457,351,9.7,47,2024-09-15,0,low
INV-0278,PRD-070,WH-02,160,351,11.4,14,2024-10-29,3,critical
INV-0279,PRD-070,WH-03,886,351,28.5,31,2024-09-13,1,healthy
INV-0280,PRD-070,WH-01,466,351,37.5,12,2024-09-09,1,low
INV-0281,PRD-071,WH-03,186,165,34.2,5,2024-10-02,2,low
INV-0282,PRD-071,WH-01,185,165,12.9,14,2024-11-11,1,low
INV-0283,PRD-071,WH-12,194,165,48.1,4,2024-11-20,1,low
INV-0284,PRD-071,WH-04,417,165,13.4,31,2024-10-21,1,healthy
INV-0285,PRD-072,WH-01,80,80,24.3,3,2024-09-28,2,low
INV-0286,PRD-072,WH-12,210,80,17.5,12,2024-11-13,0,healthy
INV-0287,PRD-072,WH-02,188,80,41.0,4,2024-10-17,0,healthy
INV-0288,PRD-072,WH-04,87,80,13.9,6,2024-11-25,1,low
INV-0289,PRD-073,WH-11,247,197,22.5,10,2024-09-15,2,low
INV-0290,PRD-073,WH-04,255,197,20.8,12,2024-09-23,2,low
INV-0291,PRD-073,WH-09,77,197,36.8,2,2024-11-26,1,critical
INV-0292,PRD-073,WH-03,419,197,19.1,21,2024-09-15,1,healthy
INV-0293,PRD-074,WH-02,262,189,31.8,8,2024-10-25,1,low
INV-0294,PRD-074,WH-03,560,189,26.9,20,2024-11-11,0,healthy
INV-0295,PRD-074,WH-11,356,189,27.0,13,2024-10-11,0,healthy
INV-0296,PRD-074,WH-04,234,189,32.9,7,2024-11-02,0,low
INV-0297,PRD-075,WH-02,377,271,35.8,10,2024-10-27,2,low
INV-0298,PRD-075,WH-11,278,271,12.5,22,2024-10-08,0,low
INV-0299,PRD-075,WH-04,684,271,17.4,39,2024-09-22,1,healthy
INV-0300,PRD-075,WH-09,0,271,25.6,0,2024-11-03,5,stockout
INV-0301,PRD-076,WH-14,1152,395,17.1,67,2024-11-09,1,healthy
INV-0302,PRD-076,WH-15,0,395,6.9,0,2024-10-27,5,stockout
INV-0303,PRD-076,WH-05,503,395,14.8,33,2024-11-23,0,low
INV-0304,PRD-076,WH-07,0,395,16.1,0,2024-10-28,3,stockout
INV-0305,PRD-077,WH-07,951,470,39.9,23,2024-11-15,0,healthy
INV-0306,PRD-077,WH-15,364,470,20.8,17,2024-09-22,4,critical
INV-0307,PRD-077,WH-05,522,470,11.3,46,2024-09-08,0,low
INV-0308,PRD-077,WH-06,541,470,20.8,26,2024-11-08,2,low
INV-0309,PRD-078,WH-06,446,315,17.0,26,2024-09-13,2,low
INV-0310,PRD-078,WH-07,877,315,48.3,18,2024-09-08,1,healthy
INV-0311,PRD-078,WH-14,539,315,44.0,12,2024-10-02,0,healthy
INV-0312,PRD-078,WH-15,899,315,37.0,24,2024-11-26,0,healthy
INV-0313,PRD-079,WH-07,213,273,17.1,12,2024-10-28,4,critical
INV-0314,PRD-079,WH-04,805,273,33.5,24,2024-10-22,0,healthy
INV-0315,PRD-079,WH-02,367,273,38.7,9,2024-11-02,1,low
INV-0316,PRD-079,WH-05,296,273,31.2,9,2024-10-29,2,low
INV-0317,PRD-080,WH-06,368,259,14.8,24,2024-11-03,0,low
INV-0318,PRD-080,WH-07,536,259,19.5,27,2024-11-10,1,healthy
INV-0319,PRD-080,WH-01,383,259,10.9,35,2024-11-27,1,low
INV-0320,PRD-080,WH-05,0,259,7.2,0,2024-11-20,3,stockout
INV-0321,PRD-081,WH-08,369,260,25.5,14,2024-11-28,0,low
INV-0322,PRD-081,WH-01,546,260,44.7,12,2024-10-06,0,healthy
INV-0323,PRD-081,WH-07,520,260,34.5,15,2024-10-18,0,healthy
INV-0324,PRD-081,WH-02,85,260,45.7,1,2024-10-21,1,critical
INV-0325,PRD-082,WH-10,49,439,9.1,5,2024-09-28,1,critical
INV-0326,PRD-082,WH-03,590,439,8.5,69,2024-11-06,0,low
INV-0327,PRD-082,WH-02,5,439,25.0,0,2024-09-16,3,critical
INV-0328,PRD-082,WH-04,561,439,36.2,15,2024-09-30,0,low
INV-0329,PRD-083,WH-04,128,109,21.5,5,2024-10-19,0,low
INV-0330,PRD-083,WH-01,0,109,41.6,0,2024-11-22,3,stockout
INV-0331,PRD-083,WH-10,68,109,11.4,5,2024-11-18,1,critical
INV-0332,PRD-083,WH-09,45,109,12.4,3,2024-11-20,2,critical
INV-0333,PRD-084,WH-10,849,495,8.9,95,2024-09-16,0,healthy
INV-0334,PRD-084,WH-02,584,495,37.9,15,2024-10-11,1,low
INV-0335,PRD-084,WH-04,1407,495,16.2,86,2024-10-02,0,healthy
INV-0336,PRD-084,WH-09,679,495,32.0,21,2024-10-07,2,low
INV-0337,PRD-085,WH-11,1076,368,28.3,38,2024-10-21,0,healthy
INV-0338,PRD-085,WH-10,800,368,34.1,23,2024-10-20,1,healthy
INV-0339,PRD-085,WH-01,627,368,15.8,39,2024-10-17,0,healthy
INV-0340,PRD-085,WH-03,513,368,10.9,47,2024-10-17,1,low
INV-0341,PRD-086,WH-09,0,331,8.3,0,2024-09-09,5,stockout
INV-0342,PRD-086,WH-10,519,331,16.8,30,2024-10-21,0,healthy
INV-0343,PRD-086,WH-02,459,331,17.9,25,2024-10-25,1,low
INV-0344,PRD-086,WH-04,328,331,23.1,14,2024-10-06,2,critical
INV-0345,PRD-087,WH-01,269,112,29.1,9,2024-10-10,0,healthy
INV-0346,PRD-087,WH-03,109,112,24.7,4,2024-09-08,2,critical
INV-0347,PRD-087,WH-11,280,112,8.9,31,2024-10-29,0,healthy
INV-0348,PRD-087,WH-02,131,112,32.4,4,2024-11-24,2,low
INV-0349,PRD-088,WH-13,3,131,11.2,0,2024-11-03,2,critical
INV-0350,PRD-088,WH-02,164,131,28.5,5,2024-10-18,0,low
